 time            time            v(inp)          v(inn)          v(vamp)         v(rxout)       
 0.00000000e+00  0.00000000e+00  8.50000000e-01  9.50000000e-01  2.64716994e-01  1.79999954e+00 
 2.00000000e-14  2.00000000e-14  8.50040000e-01  9.49960000e-01  2.64708998e-01  1.79999844e+00 
 4.00000000e-14  4.00000000e-14  8.50080000e-01  9.49920000e-01  2.64701569e-01  1.79999744e+00 
 8.00000000e-14  8.00000000e-14  8.50160000e-01  9.49840000e-01  2.64687365e-01  1.79999556e+00 
 1.60000000e-13  1.60000000e-13  8.50320000e-01  9.49680000e-01  2.64660974e-01  1.79999214e+00 
 3.20000000e-13  3.20000000e-13  8.50640000e-01  9.49360000e-01  2.64611713e-01  1.79998586e+00 
 6.40000000e-13  6.40000000e-13  8.51280000e-01  9.48720000e-01  2.64525836e-01  1.79997507e+00 
 1.28000000e-12  1.28000000e-12  8.52560000e-01  9.47440000e-01  2.64405394e-01  1.79996046e+00 
 2.56000000e-12  2.56000000e-12  8.55120000e-01  9.44880000e-01  2.64369587e-01  1.79995820e+00 
 4.56000000e-12  4.56000000e-12  8.59120000e-01  9.40880000e-01  2.64867595e-01  1.80002347e+00 
 6.56000000e-12  6.56000000e-12  8.63120000e-01  9.36880000e-01  2.66063910e-01  1.80017804e+00 
 8.56000000e-12  8.56000000e-12  8.67120000e-01  9.32880000e-01  2.67998067e-01  1.80041853e+00 
 1.05600000e-11  1.05600000e-11  8.71120000e-01  9.28880000e-01  2.70711173e-01  1.80074078e+00 
 1.25600000e-11  1.25600000e-11  8.75120000e-01  9.24880000e-01  2.74246314e-01  1.80114391e+00 
 1.45600000e-11  1.45600000e-11  8.79120000e-01  9.20880000e-01  2.78641066e-01  1.80162580e+00 
 1.65600000e-11  1.65600000e-11  8.83120000e-01  9.16880000e-01  2.83930472e-01  1.80218514e+00 
 1.85600000e-11  1.85600000e-11  8.87120000e-01  9.12880000e-01  2.90142710e-01  1.80281946e+00 
 2.05600000e-11  2.05600000e-11  8.91120000e-01  9.08880000e-01  2.97302171e-01  1.80352692e+00 
 2.25600000e-11  2.25600000e-11  8.95120000e-01  9.04880000e-01  3.05426284e-01  1.80430483e+00 
 2.45600000e-11  2.45600000e-11  8.99120000e-01  9.00880000e-01  3.14528222e-01  1.80515104e+00 
 2.65600000e-11  2.65600000e-11  9.03120000e-01  8.96880000e-01  3.24614480e-01  1.80606285e+00 
 2.85600000e-11  2.85600000e-11  9.07120000e-01  8.92880000e-01  3.35687233e-01  1.80703809e+00 
 3.05600000e-11  3.05600000e-11  9.11120000e-01  8.88880000e-01  3.47742466e-01  1.80807429e+00 
 3.25600000e-11  3.25600000e-11  9.15120000e-01  8.84880000e-01  3.60772022e-01  1.80916953e+00 
 3.45600000e-11  3.45600000e-11  9.19120000e-01  8.80880000e-01  3.74762119e-01  1.81032179e+00 
 3.65600000e-11  3.65600000e-11  9.23120000e-01  8.76880000e-01  3.89695105e-01  1.81152963e+00 
 3.85600000e-11  3.85600000e-11  9.27120000e-01  8.72880000e-01  4.05548259e-01  1.81279160e+00 
 4.05600000e-11  4.05600000e-11  9.31120000e-01  8.68880000e-01  4.22295284e-01  1.81410679e+00 
 4.25600000e-11  4.25600000e-11  9.35120000e-01  8.64880000e-01  4.39905352e-01  1.81547431e+00 
 4.45600000e-11  4.45600000e-11  9.39120000e-01  8.60880000e-01  4.58344436e-01  1.81689357e+00 
 4.65600000e-11  4.65600000e-11  9.43120000e-01  8.56880000e-01  4.77574601e-01  1.81836376e+00 
 4.85600000e-11  4.85600000e-11  9.47120000e-01  8.52880000e-01  4.97555271e-01  1.81988380e+00 
 5.00000000e-11  5.00000000e-11  9.50000000e-01  8.50000000e-01  5.12382639e-01  1.82100802e+00 
 5.02000000e-11  5.02000000e-11  9.50000000e-01  8.50000000e-01  5.14536919e-01  1.82117527e+00 
 5.06000000e-11  5.06000000e-11  9.50000000e-01  8.50000000e-01  5.18850964e-01  1.82150948e+00 
 5.14000000e-11  5.14000000e-11  9.50000000e-01  8.50000000e-01  5.27523251e-01  1.82217778e+00 
 5.30000000e-11  5.30000000e-11  9.50000000e-01  8.50000000e-01  5.44984499e-01  1.82350599e+00 
 5.50000000e-11  5.50000000e-11  9.50000000e-01  8.50000000e-01  5.66902362e-01  1.82513189e+00 
 5.70000000e-11  5.70000000e-11  9.50000000e-01  8.50000000e-01  5.88786680e-01  1.82669573e+00 
 5.90000000e-11  5.90000000e-11  9.50000000e-01  8.50000000e-01  6.10528545e-01  1.82816964e+00 
 6.10000000e-11  6.10000000e-11  9.50000000e-01  8.50000000e-01  6.32049875e-01  1.82952063e+00 
 6.30000000e-11  6.30000000e-11  9.50000000e-01  8.50000000e-01  6.53288365e-01  1.83070690e+00 
 6.50000000e-11  6.50000000e-11  9.50000000e-01  8.50000000e-01  6.74194505e-01  1.83167706e+00 
 6.70000000e-11  6.70000000e-11  9.50000000e-01  8.50000000e-01  6.94725038e-01  1.83236966e+00 
 6.90000000e-11  6.90000000e-11  9.50000000e-01  8.50000000e-01  7.14844305e-01  1.83271526e+00 
 7.10000000e-11  7.10000000e-11  9.50000000e-01  8.50000000e-01  7.34520629e-01  1.83263857e+00 
 7.30000000e-11  7.30000000e-11  9.50000000e-01  8.50000000e-01  7.53729047e-01  1.83206218e+00 
 7.50000000e-11  7.50000000e-11  9.50000000e-01  8.50000000e-01  7.72448964e-01  1.83090949e+00 
 7.70000000e-11  7.70000000e-11  9.50000000e-01  8.50000000e-01  7.90667165e-01  1.82910805e+00 
 7.90000000e-11  7.90000000e-11  9.50000000e-01  8.50000000e-01  8.08375952e-01  1.82659119e+00 
 8.10000000e-11  8.10000000e-11  9.50000000e-01  8.50000000e-01  8.25575946e-01  1.82329946e+00 
 8.30000000e-11  8.30000000e-11  9.50000000e-01  8.50000000e-01  8.42274473e-01  1.81918005e+00 
 8.50000000e-11  8.50000000e-11  9.50000000e-01  8.50000000e-01  8.58488243e-01  1.81418608e+00 
 8.70000000e-11  8.70000000e-11  9.50000000e-01  8.50000000e-01  8.74242294e-01  1.80827435e+00 
 8.90000000e-11  8.90000000e-11  9.50000000e-01  8.50000000e-01  8.89573126e-01  1.80140327e+00 
 9.10000000e-11  9.10000000e-11  9.50000000e-01  8.50000000e-01  9.04230808e-01  1.79397090e+00 
 9.30000000e-11  9.30000000e-11  9.50000000e-01  8.50000000e-01  9.18464435e-01  1.78572300e+00 
 9.50000000e-11  9.50000000e-11  9.50000000e-01  8.50000000e-01  9.32246415e-01  1.77647031e+00 
 9.70000000e-11  9.70000000e-11  9.50000000e-01  8.50000000e-01  9.45746339e-01  1.76621599e+00 
 9.90000000e-11  9.90000000e-11  9.50000000e-01  8.50000000e-01  9.58954829e-01  1.75486264e+00 
 1.01000000e-10  1.01000000e-10  9.50000000e-01  8.50000000e-01  9.72057119e-01  1.74237354e+00 
 1.03000000e-10  1.03000000e-10  9.50000000e-01  8.50000000e-01  9.85065656e-01  1.72863923e+00 
 1.05000000e-10  1.05000000e-10  9.50000000e-01  8.50000000e-01  9.98101707e-01  1.71362685e+00 
 1.07000000e-10  1.07000000e-10  9.50000000e-01  8.50000000e-01  1.01107181e+00  1.69729854e+00 
 1.09000000e-10  1.09000000e-10  9.50000000e-01  8.50000000e-01  1.02395964e+00  1.67971001e+00 
 1.11000000e-10  1.11000000e-10  9.50000000e-01  8.50000000e-01  1.03661400e+00  1.66090627e+00 
 1.13000000e-10  1.13000000e-10  9.50000000e-01  8.50000000e-01  1.04902156e+00  1.64096952e+00 
 1.15000000e-10  1.15000000e-10  9.50000000e-01  8.50000000e-01  1.06108726e+00  1.61994693e+00 
 1.17000000e-10  1.17000000e-10  9.50000000e-01  8.50000000e-01  1.07283742e+00  1.59790454e+00 
 1.19000000e-10  1.19000000e-10  9.50000000e-01  8.50000000e-01  1.08421675e+00  1.57488075e+00 
 1.21000000e-10  1.21000000e-10  9.50000000e-01  8.50000000e-01  1.09526589e+00  1.55093063e+00 
 1.23000000e-10  1.23000000e-10  9.50000000e-01  8.50000000e-01  1.10594732e+00  1.52608916e+00 
 1.25000000e-10  1.25000000e-10  9.50000000e-01  8.50000000e-01  1.11630371e+00  1.50040549e+00 
 1.27000000e-10  1.27000000e-10  9.50000000e-01  8.50000000e-01  1.12630664e+00  1.47391332e+00 
 1.29000000e-10  1.29000000e-10  9.50000000e-01  8.50000000e-01  1.13599713e+00  1.44665786e+00 
 1.31000000e-10  1.31000000e-10  9.50000000e-01  8.50000000e-01  1.14535246e+00  1.41867195e+00 
 1.33000000e-10  1.33000000e-10  9.50000000e-01  8.50000000e-01  1.15441111e+00  1.38999761e+00 
 1.35000000e-10  1.35000000e-10  9.50000000e-01  8.50000000e-01  1.16315449e+00  1.36066676e+00 
 1.37000000e-10  1.37000000e-10  9.50000000e-01  8.50000000e-01  1.17161850e+00  1.33071859e+00 
 1.39000000e-10  1.39000000e-10  9.50000000e-01  8.50000000e-01  1.17978777e+00  1.30018387e+00 
 1.41000000e-10  1.41000000e-10  9.50000000e-01  8.50000000e-01  1.18769581e+00  1.26909914e+00 
 1.43000000e-10  1.43000000e-10  9.50000000e-01  8.50000000e-01  1.19532990e+00  1.23749388e+00 
 1.45000000e-10  1.45000000e-10  9.50000000e-01  8.50000000e-01  1.20272128e+00  1.20540219e+00 
 1.47000000e-10  1.47000000e-10  9.50000000e-01  8.50000000e-01  1.20985916e+00  1.17285220e+00 
 1.49000000e-10  1.49000000e-10  9.50000000e-01  8.50000000e-01  1.21677238e+00  1.13987590e+00 
 1.51000000e-10  1.51000000e-10  9.50000000e-01  8.50000000e-01  1.22345131e+00  1.10650031e+00 
 1.53000000e-10  1.53000000e-10  9.50000000e-01  8.50000000e-01  1.22992216e+00  1.07275572e+00 
 1.55000000e-10  1.55000000e-10  9.50000000e-01  8.50000000e-01  1.23617602e+00  1.03866831e+00 
 1.57000000e-10  1.57000000e-10  9.50000000e-01  8.50000000e-01  1.24223670e+00  1.00426704e+00 
 1.59000000e-10  1.59000000e-10  9.50000000e-01  8.50000000e-01  1.24809610e+00  9.69577395e-01 
 1.61000000e-10  1.61000000e-10  9.50000000e-01  8.50000000e-01  1.25377604e+00  9.34627278e-01 
 1.63000000e-10  1.63000000e-10  9.50000000e-01  8.50000000e-01  1.25926927e+00  8.99441738e-01 
 1.65000000e-10  1.65000000e-10  9.50000000e-01  8.50000000e-01  1.26459596e+00  8.64048009e-01 
 1.67000000e-10  1.67000000e-10  9.50000000e-01  8.50000000e-01  1.26974964e+00  8.28471093e-01 
 1.69000000e-10  1.69000000e-10  9.50000000e-01  8.50000000e-01  1.27474898e+00  7.92738159e-01 
 1.71000000e-10  1.71000000e-10  9.50000000e-01  8.50000000e-01  1.27958811e+00  7.56874854e-01 
 1.73000000e-10  1.73000000e-10  9.50000000e-01  8.50000000e-01  1.28428420e+00  7.20909247e-01 
